id,num,fecha,fecha_display,n1,n2,n3,n4,n5,n6,tipo,created_at
2026-05-18_REV,1,2026-05-18,17 may,2,8,10,20,41,43,REV,2026-05-18 21:30:49.794833+00
2026-05-18_SALE,2,2026-05-18,17 may,1,6,11,17,40,42,SALE,2026-05-18 21:30:49.794833+00
2026-05-17_REV,3,2026-05-17,17 may 2026,2,8,10,20,41,43,REV,2026-05-18 21:36:53.761219+00
2026-05-17_SALE,4,2026-05-17,17 may 2026,1,6,11,17,40,42,SALE,2026-05-18 21:36:53.761219+00
